code_type,code_value,description,hcc_id
ICD10CM,E10.3549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",122
ICD10CM,E10.3551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",122
ICD10CM,E10.3552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",122
ICD10CM,E10.3553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",122
ICD10CM,E10.3559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",122
ICD10CM,E10.3591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",122
ICD10CM,E10.3592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",122
ICD10CM,E10.3593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",122
ICD10CM,E10.3599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",122
ICD10CM,E11.3511,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",122
ICD10CM,E11.3512,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",122
ICD10CM,E11.3513,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",122
ICD10CM,E11.3519,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",122
ICD10CM,E11.3521,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",122
ICD10CM,E11.3522,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",122
ICD10CM,E11.3523,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",122
ICD10CM,E11.3529,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",122
ICD10CM,E11.3531,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",122
ICD10CM,E11.3532,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",122
ICD10CM,E11.3533,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",122
ICD10CM,E11.3539,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",122
ICD10CM,E11.3541,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",122
ICD10CM,E11.3542,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",122
ICD10CM,E11.3543,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",122
ICD10CM,E11.3549,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",122
ICD10CM,E11.3551,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",122
ICD10CM,E11.3552,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",122
ICD10CM,E11.3553,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",122
ICD10CM,E11.3559,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",122
ICD10CM,E11.3591,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",122
ICD10CM,E11.3592,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",122
ICD10CM,E11.3593,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",122
ICD10CM,E11.3599,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",122
ICD10CM,E13.3511,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",122
ICD10CM,E13.3512,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",122
ICD10CM,E13.3513,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",122
ICD10CM,E13.3519,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",122
ICD10CM,E13.3521,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",122
ICD10CM,E13.3522,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",122
ICD10CM,E13.3523,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",122
ICD10CM,E13.3529,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",122
ICD10CM,E13.3531,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",122
ICD10CM,E13.3532,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",122
ICD10CM,E13.3533,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",122
ICD10CM,E13.3539,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",122
ICD10CM,E13.3541,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",122
ICD10CM,E13.3542,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",122
ICD10CM,E13.3543,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",122
ICD10CM,E13.3549,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",122
ICD10CM,E13.3551,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye",122
ICD10CM,E13.3552,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye",122
ICD10CM,E13.3553,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",122
ICD10CM,E13.3559,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",122
ICD10CM,E13.3591,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",122
ICD10CM,E13.3592,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",122
ICD10CM,E13.3593,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",122
ICD10CM,E13.3599,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",122
ICD10CM,H43.10,"Vitreous hemorrhage, unspecified eye",122
ICD10CM,H43.11,"Vitreous hemorrhage, right eye",122
ICD10CM,H43.12,"Vitreous hemorrhage, left eye",122
ICD10CM,H43.13,"Vitreous hemorrhage, bilateral",122
ICD10CM,H35.3210,"Exudative age-related macular degeneration, right eye, stage unspecified",124
ICD10CM,H35.3211,"Exudative age-related macular degeneration, right eye, with active choroidal neovascularization",124
ICD10CM,H35.3212,"Exudative age-related macular degeneration, right eye, with inactive choroidal neovascularization",124
ICD10CM,H35.3213,"Exudative age-related macular degeneration, right eye, with inactive scar",124
ICD10CM,H35.3220,"Exudative age-related macular degeneration, left eye, stage unspecified",124
ICD10CM,H35.3221,"Exudative age-related macular degeneration, left eye, with active choroidal neovascularization",124
ICD10CM,H35.3222,"Exudative age-related macular degeneration, left eye, with inactive choroidal neovascularization",124
ICD10CM,H35.3223,"Exudative age-related macular degeneration, left eye, with inactive scar",124
ICD10CM,H35.3230,"Exudative age-related macular degeneration, bilateral, stage unspecified",124
ICD10CM,H35.3231,"Exudative age-related macular degeneration, bilateral, with active choroidal neovascularization",124
ICD10CM,H35.3232,"Exudative age-related macular degeneration, bilateral, with inactive choroidal neovascularization",124
ICD10CM,H35.3233,"Exudative age-related macular degeneration, bilateral, with inactive scar",124
ICD10CM,H35.3290,"Exudative age-related macular degeneration, unspecified eye, stage unspecified",124
ICD10CM,H35.3291,"Exudative age-related macular degeneration, unspecified eye, with active choroidal neovascularization",124
ICD10CM,H35.3292,"Exudative age-related macular degeneration, unspecified eye, with inactive choroidal neovascularization",124
ICD10CM,H35.3293,"Exudative age-related macular degeneration, unspecified eye, with inactive scar",124
ICD10CM,T81.502A,"Unspecified complication of foreign body accidentally left in body following kidney dialysis, initial encounter",134
ICD10CM,T81.502D,"Unspecified complication of foreign body accidentally left in body following kidney dialysis, subsequent encounter",134
ICD10CM,T81.502S,"Unspecified complication of foreign body accidentally left in body following kidney dialysis, sequela",134
ICD10CM,T81.512A,"Adhesions due to foreign body accidentally left in body following kidney dialysis, initial encounter",134
ICD10CM,T81.512D,"Adhesions due to foreign body accidentally left in body following kidney dialysis, subsequent encounter",134
ICD10CM,T81.512S,"Adhesions due to foreign body accidentally left in body following kidney dialysis, sequela",134
ICD10CM,T81.522A,"Obstruction due to foreign body accidentally left in body following kidney dialysis, initial encounter",134
ICD10CM,T81.522D,"Obstruction due to foreign body accidentally left in body following kidney dialysis, subsequent encounter",134
ICD10CM,T81.522S,"Obstruction due to foreign body accidentally left in body following kidney dialysis, sequela",134
ICD10CM,T81.532A,"Perforation due to foreign body accidentally left in body following kidney dialysis, initial encounter",134
ICD10CM,T81.532D,"Perforation due to foreign body accidentally left in body following kidney dialysis, subsequent encounter",134
ICD10CM,T81.532S,"Perforation due to foreign body accidentally left in body following kidney dialysis, sequela",134
ICD10CM,T81.592A,"Other complications of foreign body accidentally left in body following kidney dialysis, initial encounter",134
ICD10CM,T81.592D,"Other complications of foreign body accidentally left in body following kidney dialysis, subsequent encounter",134
ICD10CM,T81.592S,"Other complications of foreign body accidentally left in body following kidney dialysis, sequela",134
ICD10CM,T82.41XA,"Breakdown (mechanical) of vascular dialysis catheter, initial encounter",134
ICD10CM,T82.41XD,"Breakdown (mechanical) of vascular dialysis catheter, subsequent encounter",134
ICD10CM,T82.41XS,"Breakdown (mechanical) of vascular dialysis catheter, sequela",134
ICD10CM,T82.42XA,"Displacement of vascular dialysis catheter, initial encounter",134
ICD10CM,T82.42XD,"Displacement of vascular dialysis catheter, subsequent encounter",134
ICD10CM,T82.42XS,"Displacement of vascular dialysis catheter, sequela",134
ICD10CM,T82.43XA,"Leakage of vascular dialysis catheter, initial encounter",134
ICD10CM,T82.43XD,"Leakage of vascular dialysis catheter, subsequent encounter",134
ICD10CM,T82.43XS,"Leakage of vascular dialysis catheter, sequela",134
ICD10CM,T82.49XA,"Other complication of vascular dialysis catheter, initial encounter",134
ICD10CM,T82.49XD,"Other complication of vascular dialysis catheter, subsequent encounter",134
ICD10CM,T82.49XS,"Other complication of vascular dialysis catheter, sequela",134
ICD10CM,T85.611A,"Breakdown (mechanical) of intraperitoneal dialysis catheter, initial encounter",134
ICD10CM,T85.611D,"Breakdown (mechanical) of intraperitoneal dialysis catheter, subsequent encounter",134
ICD10CM,T85.611S,"Breakdown (mechanical) of intraperitoneal dialysis catheter, sequela",134
ICD10CM,T85.621A,"Displacement of intraperitoneal dialysis catheter, initial encounter",134
ICD10CM,T85.621D,"Displacement of intraperitoneal dialysis catheter, subsequent encounter",134
ICD10CM,T85.621S,"Displacement of intraperitoneal dialysis catheter, sequela",134
ICD10CM,T85.631A,"Leakage of intraperitoneal dialysis catheter, initial encounter",134
ICD10CM,T85.631D,"Leakage of intraperitoneal dialysis catheter, subsequent encounter",134
ICD10CM,T85.631S,"Leakage of intraperitoneal dialysis catheter, sequela",134
ICD10CM,T85.691A,"Other mechanical complication of intraperitoneal dialysis catheter, initial encounter",134
ICD10CM,T85.691D,"Other mechanical complication of intraperitoneal dialysis catheter, subsequent encounter",134
ICD10CM,T85.691S,"Other mechanical complication of intraperitoneal dialysis catheter, sequela",134
ICD10CM,T85.71XA,"Infection and inflammatory reaction due to peritoneal dialysis catheter, initial encounter",134
ICD10CM,T85.71XD,"Infection and inflammatory reaction due to peritoneal dialysis catheter, subsequent encounter",134
ICD10CM,T85.71XS,"Infection and inflammatory reaction due to peritoneal dialysis catheter, sequela",134
ICD10CM,Y62.2,Failure of sterile precautions during kidney dialysis and other perfusion,134
ICD10CM,Z49.01,Encounter for fitting and adjustment of extracorporeal dialysis catheter,134
ICD10CM,Z49.02,Encounter for fitting and adjustment of peritoneal dialysis catheter,134
ICD10CM,Z49.31,Encounter for adequacy testing for hemodialysis,134
ICD10CM,Z49.32,Encounter for adequacy testing for peritoneal dialysis,134
ICD10CM,Z91.15,Patient's noncompliance with renal dialysis,134
ICD10CM,Z99.2,Dependence on renal dialysis,134
ICD10CM,N17.0,Acute kidney failure with tubular necrosis,135
ICD10CM,N17.1,Acute kidney failure with acute cortical necrosis,135
ICD10CM,N17.2,Acute kidney failure with medullary necrosis,135
ICD10CM,N17.8,Other acute kidney failure,135
ICD10CM,N17.9,"Acute kidney failure, unspecified",135
ICD10CM,I12.0,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,136
ICD10CM,I13.11,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",136
ICD10CM,I13.2,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",136
ICD10CM,N18.5,"Chronic kidney disease, stage 5",136
ICD10CM,N18.6,End stage renal disease,136
ICD10CM,N18.4,"Chronic kidney disease, stage 4 (severe)",137
ICD10CM,L89.004,"Pressure ulcer of unspecified elbow, stage 4",157
ICD10CM,L89.014,"Pressure ulcer of right elbow, stage 4",157
ICD10CM,L89.024,"Pressure ulcer of left elbow, stage 4",157
ICD10CM,L89.104,"Pressure ulcer of unspecified part of back, stage 4",157
ICD10CM,L89.114,"Pressure ulcer of right upper back, stage 4",157
ICD10CM,L89.124,"Pressure ulcer of left upper back, stage 4",157
ICD10CM,L89.134,"Pressure ulcer of right lower back, stage 4",157
ICD10CM,L89.144,"Pressure ulcer of left lower back, stage 4",157
ICD10CM,L89.154,"Pressure ulcer of sacral region, stage 4",157
ICD10CM,L89.204,"Pressure ulcer of unspecified hip, stage 4",157
ICD10CM,L89.214,"Pressure ulcer of right hip, stage 4",157
ICD10CM,L89.224,"Pressure ulcer of left hip, stage 4",157
ICD10CM,L89.304,"Pressure ulcer of unspecified buttock, stage 4",157
ICD10CM,L89.314,"Pressure ulcer of right buttock, stage 4",157
ICD10CM,L89.324,"Pressure ulcer of left buttock, stage 4",157
ICD10CM,L89.44,"Pressure ulcer of contiguous site of back, buttock and hip, stage 4",157
ICD10CM,L89.504,"Pressure ulcer of unspecified ankle, stage 4",157
ICD10CM,L89.514,"Pressure ulcer of right ankle, stage 4",157
ICD10CM,L89.524,"Pressure ulcer of left ankle, stage 4",157
ICD10CM,L89.604,"Pressure ulcer of unspecified heel, stage 4",157
ICD10CM,L89.614,"Pressure ulcer of right heel, stage 4",157
ICD10CM,L89.624,"Pressure ulcer of left heel, stage 4",157
ICD10CM,L89.814,"Pressure ulcer of head, stage 4",157
ICD10CM,L89.894,"Pressure ulcer of other site, stage 4",157
ICD10CM,L89.94,"Pressure ulcer of unspecified site, stage 4",157
ICD10CM,L89.000,"Pressure ulcer of unspecified elbow, unstageable",158
ICD10CM,L89.003,"Pressure ulcer of unspecified elbow, stage 3",158
ICD10CM,L89.010,"Pressure ulcer of right elbow, unstageable",158
ICD10CM,L89.013,"Pressure ulcer of right elbow, stage 3",158
ICD10CM,L89.020,"Pressure ulcer of left elbow, unstageable",158
ICD10CM,L89.023,"Pressure ulcer of left elbow, stage 3",158
ICD10CM,L89.100,"Pressure ulcer of unspecified part of back, unstageable",158
ICD10CM,L89.103,"Pressure ulcer of unspecified part of back, stage 3",158
ICD10CM,L89.110,"Pressure ulcer of right upper back, unstageable",158
ICD10CM,L89.113,"Pressure ulcer of right upper back, stage 3",158
ICD10CM,L89.120,"Pressure ulcer of left upper back, unstageable",158
ICD10CM,L89.123,"Pressure ulcer of left upper back, stage 3",158
ICD10CM,L89.130,"Pressure ulcer of right lower back, unstageable",158
ICD10CM,L89.133,"Pressure ulcer of right lower back, stage 3",158
ICD10CM,L89.140,"Pressure ulcer of left lower back, unstageable",158
ICD10CM,L89.143,"Pressure ulcer of left lower back, stage 3",158
ICD10CM,L89.150,"Pressure ulcer of sacral region, unstageable",158
ICD10CM,L89.153,"Pressure ulcer of sacral region, stage 3",158
ICD10CM,L89.200,"Pressure ulcer of unspecified hip, unstageable",158
ICD10CM,L89.203,"Pressure ulcer of unspecified hip, stage 3",158
ICD10CM,L89.210,"Pressure ulcer of right hip, unstageable",158
ICD10CM,L89.213,"Pressure ulcer of right hip, stage 3",158
ICD10CM,L89.220,"Pressure ulcer of left hip, unstageable",158
ICD10CM,L89.223,"Pressure ulcer of left hip, stage 3",158
ICD10CM,L89.300,"Pressure ulcer of unspecified buttock, unstageable",158
ICD10CM,L89.303,"Pressure ulcer of unspecified buttock, stage 3",158
ICD10CM,L89.310,"Pressure ulcer of right buttock, unstageable",158
ICD10CM,L89.313,"Pressure ulcer of right buttock, stage 3",158
ICD10CM,L89.320,"Pressure ulcer of left buttock, unstageable",158
ICD10CM,L89.323,"Pressure ulcer of left buttock, stage 3",158
ICD10CM,L89.43,"Pressure ulcer of contiguous site of back, buttock and hip, stage 3",158
ICD10CM,L89.45,"Pressure ulcer of contiguous site of back, buttock and hip, unstageable",158
ICD10CM,L89.500,"Pressure ulcer of unspecified ankle, unstageable",158
ICD10CM,L89.503,"Pressure ulcer of unspecified ankle, stage 3",158
ICD10CM,L89.510,"Pressure ulcer of right ankle, unstageable",158
ICD10CM,L89.513,"Pressure ulcer of right ankle, stage 3",158
ICD10CM,L89.520,"Pressure ulcer of left ankle, unstageable",158
ICD10CM,L89.523,"Pressure ulcer of left ankle, stage 3",158
ICD10CM,L89.600,"Pressure ulcer of unspecified heel, unstageable",158
ICD10CM,L89.603,"Pressure ulcer of unspecified heel, stage 3",158
ICD10CM,L89.610,"Pressure ulcer of right heel, unstageable",158
ICD10CM,L89.613,"Pressure ulcer of right heel, stage 3",158
ICD10CM,L89.620,"Pressure ulcer of left heel, unstageable",158
ICD10CM,L89.623,"Pressure ulcer of left heel, stage 3",158
ICD10CM,L89.810,"Pressure ulcer of head, unstageable",158
ICD10CM,L89.813,"Pressure ulcer of head, stage 3",158
ICD10CM,L89.890,"Pressure ulcer of other site, unstageable",158
ICD10CM,L89.893,"Pressure ulcer of other site, stage 3",158
ICD10CM,L89.93,"Pressure ulcer of unspecified site, stage 3",158
ICD10CM,L89.95,"Pressure ulcer of unspecified site, unstageable",158
ICD10CM,E08.621,Diabetes mellitus due to underlying condition with foot ulcer,161
ICD10CM,E08.622,Diabetes mellitus due to underlying condition with other skin ulcer,161
ICD10CM,E09.621,Drug or chemical induced diabetes mellitus with foot ulcer,161
ICD10CM,E09.622,Drug or chemical induced diabetes mellitus with other skin ulcer,161
ICD10CM,E10.621,Type 1 diabetes mellitus with foot ulcer,161
ICD10CM,E10.622,Type 1 diabetes mellitus with other skin ulcer,161
ICD10CM,E11.621,Type 2 diabetes mellitus with foot ulcer,161
ICD10CM,E11.622,Type 2 diabetes mellitus with other skin ulcer,161
ICD10CM,E13.621,Other specified diabetes mellitus with foot ulcer,161
ICD10CM,E13.622,Other specified diabetes mellitus with other skin ulcer,161
ICD10CM,I70.231,Atherosclerosis of native arteries of right leg with ulceration of thigh,161
ICD10CM,I70.232,Atherosclerosis of native arteries of right leg with ulceration of calf,161
ICD10CM,I70.233,Atherosclerosis of native arteries of right leg with ulceration of ankle,161
ICD10CM,I70.234,Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot,161
ICD10CM,I70.235,Atherosclerosis of native arteries of right leg with ulceration of other part of foot,161
ICD10CM,I70.238,Atherosclerosis of native arteries of right leg with ulceration of other part of lower right leg,161
ICD10CM,I70.239,Atherosclerosis of native arteries of right leg with ulceration of unspecified site,161
ICD10CM,I70.241,Atherosclerosis of native arteries of left leg with ulceration of thigh,161
ICD10CM,I70.242,Atherosclerosis of native arteries of left leg with ulceration of calf,161
ICD10CM,I70.243,Atherosclerosis of native arteries of left leg with ulceration of ankle,161
ICD10CM,I70.244,Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot,161
ICD10CM,I70.245,Atherosclerosis of native arteries of left leg with ulceration of other part of foot,161
ICD10CM,I70.248,Atherosclerosis of native arteries of left leg with ulceration of other part of lower left leg,161
ICD10CM,I70.249,Atherosclerosis of native arteries of left leg with ulceration of unspecified site,161
ICD10CM,I70.25,Atherosclerosis of native arteries of other extremities with ulceration,161
ICD10CM,I70.331,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh,161
ICD10CM,I70.332,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf,161
ICD10CM,I70.333,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle,161
ICD10CM,I70.334,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot,161
ICD10CM,I70.335,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot,161
ICD10CM,I70.338,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg,161
ICD10CM,I70.339,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site,161
ICD10CM,I70.341,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh,161
ICD10CM,I70.342,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf,161
ICD10CM,I70.343,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle,161
ICD10CM,I70.344,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot,161
ICD10CM,I70.345,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot,161
ICD10CM,I70.348,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg,161
ICD10CM,I70.349,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site,161
ICD10CM,I70.35,Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration,161
ICD10CM,I70.431,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh,161
ICD10CM,I70.432,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of calf,161
ICD10CM,I70.433,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle,161
ICD10CM,I70.434,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of heel and midfoot,161
ICD10CM,I70.435,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot,161
ICD10CM,I70.438,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg,161
ICD10CM,I70.439,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified site,161
ICD10CM,I70.441,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of thigh,161
ICD10CM,I70.442,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf,161
ICD10CM,I70.443,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle,161
ICD10CM,I70.444,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of heel and midfoot,161
ICD10CM,I70.445,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of foot,161
ICD10CM,I70.448,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of lower leg,161
ICD10CM,I70.449,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified site,161
ICD10CM,I70.45,Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration,161
ICD10CM,I70.531,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of thigh,161
ICD10CM,I70.532,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf,161
ICD10CM,I70.533,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of ankle,161
ICD10CM,I70.534,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of heel and midfoot,161
ICD10CM,I70.535,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of foot,161
ICD10CM,I70.538,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of lower leg,161
ICD10CM,I70.539,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of unspecified site,161
ICD10CM,I70.541,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of thigh,161
ICD10CM,I70.542,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf,161
ICD10CM,I70.543,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of ankle,161
ICD10CM,I70.544,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of heel and midfoot,161
ICD10CM,I70.545,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of foot,161
ICD10CM,I70.548,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of lower leg,161
ICD10CM,I70.549,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of unspecified site,161
ICD10CM,I70.55,Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration,161
ICD10CM,I70.631,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of thigh,161
ICD10CM,I70.632,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of calf,161
ICD10CM,I70.633,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of ankle,161
ICD10CM,I70.634,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of heel and midfoot,161
ICD10CM,I70.635,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of foot,161
ICD10CM,I70.638,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of lower leg,161
ICD10CM,I70.639,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of unspecified site,161
ICD10CM,I70.641,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of thigh,161
ICD10CM,I70.642,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf,161
ICD10CM,I70.643,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of ankle,161
ICD10CM,I70.644,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of heel and midfoot,161
ICD10CM,I70.645,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of foot,161
ICD10CM,I70.648,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of lower leg,161
ICD10CM,I70.649,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of unspecified site,161
ICD10CM,I70.65,Atherosclerosis of nonbiological bypass graft(s) of other extremity with ulceration,161
ICD10CM,I70.731,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of thigh,161
ICD10CM,I70.732,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of calf,161
ICD10CM,I70.733,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of ankle,161
ICD10CM,I70.734,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of heel and midfoot,161
ICD10CM,I70.735,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of foot,161
ICD10CM,I70.738,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of lower leg,161
ICD10CM,I70.739,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site,161
ICD10CM,I70.741,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of thigh,161
